-55.3621,45.7273
-55.3621,46.3091
-55.6494,46.7455
-55.9655,47.1091
-56.4828,47.3636
-56.8563,47.3636
-57.4023,47
-58.0632,46.5636
-58.6954,46.2364
-59.4713,45.9091
-60.1609,45.5818
-60.8793,45.4
-62.1724,45.2182
-62.977,45.2545
-63.523,45.5091
-64.1264,45.7636
-64.7586,46.1273
-66.3391,46.0182
-68.2069,45.4364
-70.7356,44.4909
-72.8621,43.1455
-75.1897,41.3636
-76.9713,39.1455
-77.546,37.0364
-77.9195,34.7818
-77.977,33.3636
-74.2126,33.4
-74.0977,35.6182
-72.3448,36.6
-69.4138,37.8364
-66.2241,38.7818
-63.8391,40.0545
-60.908,41.4364
-58.0057,42.7455
-55.7069,43.7273
-55.3333,44.4909
-55.3333,45.6909
